TIME,LABEL
0,1.1
0.441177102,1.2
0.882354204,1.3
1.323531306,1.4
1.764708408,2.1
2.20588551,2.2
2.647062612,2.3
3.088239714,2.4
3.529416816,3.1
3.970593918,3.2
4.41177102,3.3
4.852948122,3.4
